[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/aarya.py', 'result': 'potential threat'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/.vscode/settings.json', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv1.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/class/sorting.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv2.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/__pycache__/test.cpython-311.pyc', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv3.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv4.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv5.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv6.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/guiscanningv7.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/in.txt', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/listdict.txt', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/newv1.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/newv2.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/scanningfordirectoryv1.py', 'result': 'potential threat'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/scanningfordirectoryv2.py', 'result': 'ignored'}]
[{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Is a malware': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/python-projects-for-assignment/web/scanningfordirectoryv3.py', 'result': 'ignored'}]
